asin,title,imgUrl,productURL,stars,reviews,price,listPrice,categoryName,isBestSeller,boughtInLastMonth,mainCategory,discount_amount,discount_percent
B073TW4BV6,Men's 3 Pieces Suit Elegant Solid One Button Slim Fit Single Breasted Party Blazer Vest Pants Set,https://m.media-amazon.com/images/I/61Ysy6IFE3L._AC_UL320_.jpg,https://www.amazon.ca/dp/B073TW4BV6,4.0,7762,119.99,150.0,Men's Clothing,True,50,Fashion,30.010000000000005,20.00666666666667
B0834W2ZBB,Men Workout Hooded Tank Tops Fitness Muscle Bodybuilding Gym Hoodies Casual Sleeveless Shirt,https://m.media-amazon.com/images/I/61lLDBxGQUL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0834W2ZBB,3.6,179,14.25,15.53,Men's Clothing,True,0,Fashion,1.2799999999999994,8.242112041210557
B07BHLCM42,Mens Men's Hockey aditeam Stock Jersey,https://m.media-amazon.com/images/I/51DDQfdmTZL._AC_UL320_.jpg,https://www.amazon.ca/dp/B07BHLCM42,4.6,43,50.04,52.73,Men's Clothing,True,0,Fashion,2.6899999999999977,5.101460269296411
B0811LGTBX,Women's High Waisted Board Shorts Swimwear Shorts Bike Shorts,https://m.media-amazon.com/images/I/614G2PzhyaL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0811LGTBX,4.3,1479,20.79,25.99,Women's Clothing,True,100,Fashion,5.199999999999999,20.00769526741054
B07XYTP2FR,Women's Breathable Seamless Thong Panties No Show Underwear,https://m.media-amazon.com/images/I/81Go14KyeEL._AC_UL320_.jpg,https://www.amazon.ca/dp/B07XYTP2FR,4.5,18465,35.98,42.98,Women's Clothing,True,100,Fashion,7.0,16.286644951140065
B07RN5M4J7,Women's 5 Pack Cotton Underwear Briefs High Waist Full Coverage Brief Panties 2X-Large,https://m.media-amazon.com/images/I/61HFXExKteL._AC_UL320_.jpg,https://www.amazon.ca/dp/B07RN5M4J7,4.4,411,33.99,40.99,Women's Clothing,True,50,Fashion,7.0,17.077335935594046
B01BSYBGV8,Women's BOBS Plush - Peace & Love Slip-Ons,https://m.media-amazon.com/images/I/61mx85-BOjL._AC_UL320_.jpg,https://www.amazon.ca/dp/B01BSYBGV8,4.2,12092,35.98,41.98,Women's Clothing,True,0,Fashion,6.0,14.292520247737018
B0B75PLR9Y,"Women Trench Coats Double-Breasted Spring and Fall Fashion,Water Resistant Loose Oversized Long Thin Jacket Belted",https://m.media-amazon.com/images/I/61LA52GPtUL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0B75PLR9Y,3.7,360,64.98,89.98,Women's Clothing,True,0,Fashion,25.0,27.783951989330962
B096VCW31P,Women's Bikini Sets Two Piece Swimsuits Twist High Waisted V Neck Spaghetti Straps,https://m.media-amazon.com/images/I/71WlPhx38aL._AC_UL320_.jpg,https://www.amazon.ca/dp/B096VCW31P,4.2,7601,42.99,59.99,Women's Clothing,True,0,Fashion,17.0,28.338056342723785
B07S84HVYH,Womens Safari Shirts UPF 50+ UV Sun Protection Long Sleeve Outdoor Cool Quick Dry Fishing Hiking Shirt,https://m.media-amazon.com/images/I/61hxcf1TdFS._AC_UL320_.jpg,https://www.amazon.ca/dp/B07S84HVYH,3.9,226,20.99,22.99,Women's Clothing,True,0,Fashion,2.0,8.699434536755112
B0B1SJPTGK,Womens French Terry Drop Sleeve V Neck Tee,https://m.media-amazon.com/images/I/81sAP364HiL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0B1SJPTGK,2.7,6,5.67,8.39,Women's Clothing,True,0,Fashion,2.7200000000000006,32.419547079856976
B0BR724H3W,Womens Safari Shirts UPF 50+ UV Sun Protection Long Sleeve Outdoor Cool Quick Dry Fishing Hiking Shirt,https://m.media-amazon.com/images/I/71VgV9e+9YL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0BR724H3W,3.9,226,20.97,22.99,Women's Clothing,True,0,Fashion,2.0199999999999996,8.78642888212266
