asin,title,imgUrl,productURL,stars,reviews,price,listPrice,categoryName,isBestSeller,boughtInLastMonth,mainCategory,discount_amount,discount_percent
B07G1VKCND,"Rael Miracle Invisible Spot Cover - Absorbing Cover, Skin Care, Facial Stickers, 2 Sizes (96 Count)",https://m.media-amazon.com/images/I/616Xk7FIj+L._AC_UL320_.jpg,https://www.amazon.ca/dp/B07G1VKCND,4.5,46331,24.99,26.99,Beauty,True,10000,Beauty & Personal Care,2.0,7.410151908114117
B0914XZT2W,"Hair Wax Stick, Wax Stick for Hair Wigs Edge Control Slick Stick Hair Pomade Stick Non-greasy Styling Wax for Fly Away & Edge Frizz Hair 2.7 Oz",https://m.media-amazon.com/images/I/71ch+4CFALL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0914XZT2W,4.1,33191,11.5,14.89,Beauty,True,10000,Beauty & Personal Care,3.3900000000000006,22.76695768972465
B00BMI4AS2,Q-tips Cotton Swabs 1170 Count,https://m.media-amazon.com/images/I/71vx-9iCENL._AC_UL320_.jpg,https://www.amazon.ca/dp/B00BMI4AS2,4.8,13435,10.97,14.29,Beauty,True,9000,Beauty & Personal Care,3.3199999999999985,23.233030090972697
B014E2D6BY,"Under Eye Mask - Reduce Dark Circles, Puffy Eyes, Undereye Bags, Wrinkles - Gel Under Eye Patches, Vegan Cruelty-Free Self Care by grace and stella (24 Pairs, Gold)",https://m.media-amazon.com/images/I/716aAlijGdL._AC_UL320_.jpg,https://www.amazon.ca/dp/B014E2D6BY,4.4,17028,25.95,57.55,Beauty,True,8000,Beauty & Personal Care,31.599999999999998,54.90877497827976
B08H3JPH74,"Maybelline New York Lash Sensational Sky High Mascara, Washable Lengthening Eyelash Mascara, Blackest Black, 7.2 mL",https://m.media-amazon.com/images/I/71e5-Rxbp7L._AC_UL320_.jpg,https://www.amazon.ca/dp/B08H3JPH74,4.4,121376,11.96,16.99,Beauty,True,8000,Beauty & Personal Care,5.029999999999998,29.605650382577977
B09CM7Q3F7,"NIIMBOT D110 Thermal Label Makers with 1 Roll Tape, Portable Mini Wireless Bluetooth Sticker Printer for Home Office School Use, Mobile Phone Editable, Printable Width 12mm, White",https://m.media-amazon.com/images/I/518nrAKAikL._AC_UL320_.jpg,https://www.amazon.ca/dp/B09CM7Q3F7,4.6,316,35.99,49.99,Electronics,True,4000,Electronics & Tech,14.0,28.005601120224043
B00MH4QI26,"Amazon Basics 12 Pack C Cell All-Purpose Alkaline Batteries, 5-Year Shelf Life, Easy to Open Value Pack",https://m.media-amazon.com/images/I/71780tDIl3L._AC_UL320_.jpg,https://www.amazon.ca/dp/B00MH4QI26,4.7,87748,15.12,16.79,Electronics,True,2000,Electronics & Tech,1.67,9.946396664681359
B004K95PBQ,"Duracell Coppertop AAA Batteries, 24 Count Pack Triple a Battery with Long-lasting Power, Alkaline AAA Battery for Household and Office Devices. Packaging may vary",https://m.media-amazon.com/images/I/71OTVWbdMsL._AC_UL320_.jpg,https://www.amazon.ca/dp/B004K95PBQ,4.8,45687,20.46,25.99,Electronics,True,2000,Electronics & Tech,5.529999999999998,21.27741439015005
B000J09CO6,"Paper Mate Flair Felt Tip Pens | Medium Point 0.7 Millimeter Marker Pens | School Supplies for Teachers & Students | Assorted Colors, 12 Count",https://m.media-amazon.com/images/I/81qNc3tRhVL._AC_UL320_.jpg,https://www.amazon.ca/dp/B000J09CO6,4.7,48348,10.37,11.89,Electronics,True,2000,Electronics & Tech,1.5200000000000014,12.78385197645081
B079ZV4V3C,Amazon Basics Office Stapler with 1000 Staples - Black,https://m.media-amazon.com/images/I/61qYnrkvZfL._AC_UL320_.jpg,https://www.amazon.ca/dp/B079ZV4V3C,4.6,39915,8.32,10.44,Electronics,True,2000,Electronics & Tech,2.119999999999999,20.306513409961678
B08BRV6S41,"Workout Leggings for Women, Squat Proof High Waisted Yoga Pants 4 Way Stretch, Buttery Soft",https://m.media-amazon.com/images/I/61I7FpgX9IL._AC_UL320_.jpg,https://www.amazon.ca/dp/B08BRV6S41,4.2,38487,35.99,49.99,Women,True,6000,Fashion,14.0,28.005601120224043
B000P22TIY,"Nautica Voyage Eau De Toilette for Men - Fresh, Romantic, Fruity Scent - Woody, Aquatic Notes of Apple, Water Lotus, Cedarwood, and Musk - Ideal for Day Wear - 3.3 Fl Oz",https://m.media-amazon.com/images/I/51dp6BGML8L._AC_UL320_.jpg,https://www.amazon.ca/dp/B000P22TIY,4.4,95412,28.93,32.23,Perfume  Cologne,True,2000,Fashion,3.299999999999997,10.238907849829344
B00BMHY7CM,Dr. Scholl's ULTRA AIR-PILLO Insoles. Cushioning Molds to Your Foot and Absorbs Shock for All-Day Comfort (One Size fits Men's 7-13 & Women's 5-10),https://m.media-amazon.com/images/I/71v-ugDskTL._AC_UL320_.jpg,https://www.amazon.ca/dp/B00BMHY7CM,4.3,421,4.77,6.23,"Shoe, Jewelry  Watch Accessories",True,2000,Fashion,1.4600000000000009,23.43499197431783
